Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cameroon,CMR,14.5567883473176,..,12.9354089682878,12.8603148220395,12.4213187666358,11.9000531275541,10.5272373062848,11.367382512434,12.3229207514112,12.0602939460197,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Canada,CAN,24.1003248018335,18.7745182688509,17.0848821579089,16.4020498301416,17.0597786823228,17.498604071126,17.6065954076372,17.5409004540917,18.1057096781026,28.7117009197255,22.7334199866274,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Central African Republic,CAF,..,..,..,8.27197400077813,9.30655844158761,9.02134552692702,8.67679860120799,10.1233533419528,9.93933909760806,13.9733066121224,11.6613898280077,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Chile,CHL,16.8206083004279,20.1386805049182,20.1963012042744,20.6752522601778,21.6348148833018,22.1268634762745,22.3472564737029,22.6179870091642,23.2889351962879,26.2198955465985,30.6950384290272,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Colombia,COL,..,16.9331428734368,33.2851931387088,30.1625917691368,26.8156770552217,28.6308350994839,27.5049639074473,29.9717907219429,31.3047065647576,36.4872315798998,34.956698186197,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,"Congo, Rep.",COG,..,..,10.8769536250591,12.7693252988698,15.5780533047948,17.6696040015459,17.1089644077162,17.7481109416496,17.7877951137136,19.4679355041328,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Costa Rica,CRI,24.2498822315247,22.0341229169995,26.5177395774488,26.7358581094094,28.5548940715519,27.1467334171331,25.3967283752901,28.9192248274544,29.6382263485119,32.2534448885594,30.2223838289689,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cote d'Ivoire,CIV,..,..,9.93060164126875,9.21632749743159,13.4545912156732,13.4001933039204,14.9472059883342,14.7370417836244,13.737314688284,16.0435444359209,16.6016696633019,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Croatia,HRV,..,357.174566877944,312.420028392852,316.708189476366,312.331703633916,305.386420822511,297.847029104584,293.19171606452,288.426567720079,340.849530786947,310.442802016507,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Cyprus,CYP,50.4016366456296,54.3060469276375,42.3312280152498,48.8394335483695,39.2344403215911,35.9607245594467,34.8145781782417,38.6341005656492,36.3735363988943,42.4814284351281,41.223718768907,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Czechia,CZE,..,33.5883876596674,34.7340247962072,34.4712071473706,33.2582980245074,32.8355368174225,31.8073908236043,32.2107925299232,32.5785832957207,38.428300208911,38.0504122224028,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Denmark,DNK,37.0039568823522,36.7934107533369,41.4137695541439,40.9107774305507,40.4442008479026,38.3836154110677,37.0221526730792,36.8022464830679,35.9531907511295,39.6950955953815,37.8098963812479,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Dominican Republic,DOM,6.89608786277386,10.9875855185638,15.4533387570096,15.6419047050747,15.2054975505956,16.1490037375533,16.0194816377183,15.704552140793,15.8640481695949,21.3975598243477,17.8061253525519,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Ecuador,ECU,..,..,34.0387816763776,33.6516959441241,33.3617280487025,34.2600244105971,31.5711344825962,33.6990063234216,32.9898577666523,32.8652698562189,32.2308666082271,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,24.1137787056367,..,32.2017308105784,32.9206291079812,30.2303694913867,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,El Salvador,SLV,..,15.020032749119,22.9958128249062,22.7697175169483,22.7632940909989,23.2079037686245,24.8439899000093,24.7270938497397,24.7593666042437,33.932502422776,29.0986050162913,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Equatorial Guinea,GNQ,..,..,8.04260611446995,7.09211811356117,9.94330276207662,10.2457380951843,9.90214268336292,10.3213929151027,11.4103961361878,12.0043820300531,10.3127088029469,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
